id,address_state,application_type,emp_length,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,annual_income (Label),dti,installment,int_rate,loan_amount,total_acc,total_payment,new_loan_status
432820,MI,INDIVIDUAL,< 1 year,C,RENT,8/9/2021,5/16/2021,9/9/2021,Charged Off,10/9/2021,515007,other,C3, 36 months,Not Verified,12000,<50K,0.14,33.97,0.1357,1000,8,34,Default
763325,CA,INDIVIDUAL,< 1 year,D,RENT,5/11/2021,4/16/2021,7/11/2021,Charged Off,8/11/2021,963887,moving,D5, 36 months,Source Verified,36000,<50K,0.204,35.9,0.1749,1000,12,36,Default
457883,CA,INDIVIDUAL,2 years,B,RENT,11/9/2021,5/16/2021,12/9/2021,Charged Off,1/9/2022,567608,other,B5, 36 months,Not Verified,32000,<50K,0.0904,66.94,0.1253,2000,7,67,Default
529214,MD,INDIVIDUAL,10+ years,B,RENT,6/10/2021,5/16/2021,8/10/2021,Charged Off,9/10/2021,684400,other,B3, 60 months,Verified,71200,50K–99K,0.148,34.89,0.1112,1600,16,70,Default
690459,IL,INDIVIDUAL,5 years,C,OWN,3/11/2021,5/16/2021,4/11/2021,Charged Off,5/11/2021,864068,small business,C5, 60 months,Not Verified,50000,50K–99K,0.1579,70.07,0.1417,3000,22,70,Default
543732,FL,INDIVIDUAL,10+ years,D,RENT,7/10/2021,1/11/2021,9/10/2021,Charged Off,10/10/2021,701452,moving,D3, 36 months,Source Verified,48000,<50K,0.0161,34.96,0.1558,1000,22,79,Default
366248,CA,INDIVIDUAL,1 year,D,RENT,12/8/2021,5/16/2021,1/9/2021,Charged Off,2/9/2021,378011,Debt consolidation,D2, 36 months,Not Verified,16000,<50K,0.216,84.24,0.1442,2450,11,84,Default
660835,OH,INDIVIDUAL,3 years,C,RENT,2/11/2021,5/16/2021,4/11/2021,Charged Off,5/11/2021,845178,wedding,C4, 60 months,Source Verified,70000,50K–99K,0.1078,92.66,0.138,4000,11,92,Default
847552,NV,INDIVIDUAL,2 years,E,RENT,8/11/2021,2/12/2021,9/11/2021,Charged Off,10/11/2021,1059058,other,E4, 36 months,Not Verified,34560,<50K,0.0865,44.17,0.1929,1200,9,97,Default
489032,CA,INDIVIDUAL,9 years,B,MORTGAGE,3/10/2021,5/16/2021,5/10/2021,Charged Off,6/10/2021,623844,Debt consolidation,B2, 36 months,Not Verified,157000,150K–199K,0.0872,647.7,0.1025,20000,43,99,Default
448326,VA,INDIVIDUAL,2 years,C,RENT,10/9/2021,4/10/2021,11/9/2021,Charged Off,12/9/2021,549919,educational,C1, 36 months,Not Verified,26000,<50K,0.1929,44.57,0.1287,1325,12,103,Default
867876,CA,INDIVIDUAL,5 years,C,RENT,9/11/2021,5/16/2021,11/11/2021,Charged Off,12/11/2021,1081513,other,C1, 60 months,Not Verified,46072,<50K,0.1321,56.87,0.1299,2500,18,113,Default
606429,OH,INDIVIDUAL,2 years,C,MORTGAGE,10/10/2021,5/16/2021,2/11/2021,Charged Off,3/11/2021,777950,home improvement,C3, 36 months,Verified,48000,<50K,0.1775,40.43,0.1298,1200,43,121,Default
504214,PA,INDIVIDUAL,1 year,B,RENT,4/10/2021,10/10/2021,6/10/2021,Charged Off,7/10/2021,649127,moving,B1, 36 months,Not Verified,18000,<50K,0.0307,51.54,0.0988,1600,6,122,Default
